region,industry,coverage,mean_daily_cnt,visitor_share,n_days,rain_light_pct,rain_light_p,rain_heavy_pct,rain_heavy_p,heat_day_pct,heat_day_p,rain_light_q,rain_heavy_q,heat_day_q
강원 춘천시,패스트푸드,1.0,4584.2,0.144,184,-2.4974,0.1584,-2.5167,0.1261,7.4267,0.0635,0.3375,0.2242,0.3304
강원 춘천시,편의점,1.0,60446.3,0.185,184,-1.2221,0.1635,-7.5744,0.0,4.2144,0.0332,0.3375,0.0,0.2669
강원 춘천시,학원/학습지,1.0,554.9,0.035,184,-6.2749,0.4295,6.3299,0.5727,-0.879,0.9407,0.5956,0.6574,0.9601
강원 춘천시,한식,1.0,30253.8,0.265,184,-3.5127,0.0327,-6.8355,0.0027,4.1247,0.3317,0.2002,0.0131,0.6561
강원 춘천시,한의원,1.0,821.2,0.098,184,-13.2521,0.1848,-14.9882,0.0548,-10.4612,0.2549,0.3407,0.1298,0.6524
강원 춘천시,할인점/슈퍼마켓/양판점,1.0,37806.2,0.1,184,-3.0889,0.385,-6.6901,0.0661,-3.4544,0.3953,0.573,0.1423,0.6561
강원 춘천시,헬스장,1.0,447.1,0.1,184,-4.668,0.491,3.6539,0.6702,0.0609,0.9938,0.6284,0.7525,0.9938
강원 춘천시,호텔/콘도,1.0,395.8,0.855,184,-13.3194,0.3944,-16.2501,0.4691,15.5647,0.6762,0.5736,0.5664,0.8015
강원 춘천시,화원,1.0,488.0,0.345,184,-11.874,0.0996,-35.6081,0.0,7.4958,0.3891,0.3036,0.0001,0.6561
강원 춘천시,화장품,0.995,165.9,0.145,183,-13.2275,0.2955,-4.3848,0.7203,26.6679,0.0651,0.4684,0.7813,0.3304
서울 강남구,LPG가스,1.0,3339.0,0.28,184,-1.0522,0.2365,-7.7428,0.0209,2.7652,0.0137,0.4673,0.1689,0.1848
서울 강남구,가구,1.0,168.1,0.399,184,-7.6284,0.5752,-19.1733,0.6173,2.7255,0.8886,0.722,0.7006,0.9491
서울 강남구,가전,1.0,756.9,0.353,184,-13.145,0.0538,-24.1294,0.2095,3.0702,0.7742,0.1743,0.361,0.9491
서울 강남구,게임방/오락실,1.0,21958.2,0.344,184,-3.5702,0.0603,-3.9392,0.2442,1.9938,0.4574,0.188,0.4037,0.8779
서울 강남구,결제대행(PG),1.0,2685.1,0.703,184,-7.644,0.0391,-14.7934,0.0082,-4.0912,0.6054,0.1585,0.0826,0.9491
서울 강남구,고속버스/철도/여객선,1.0,10894.7,0.758,184,1.6748,0.5422,-0.7106,0.8177,-2.7073,0.2002,0.7083,0.8602,0.7206
서울 강남구,기타식품,1.0,20488.5,0.359,184,-7.1428,0.2046,-24.3663,0.0006,-1.177,0.8745,0.4249,0.0128,0.9491
서울 강남구,기타요식,1.0,98990.3,0.357,184,-5.1079,0.0699,-15.32,0.0006,1.7717,0.6854,0.2023,0.0128,0.9491
서울 강남구,기타유통,1.0,2159.5,0.422,184,-1.4053,0.8506,-19.76,0.1505,0.9628,0.9111,0.8982,0.3292,0.9574
서울 강남구,기타의료,1.0,1100.2,0.581,184,-9.2366,0.473,-34.791,0.0529,0.3564,0.987,0.657,0.2039,0.9938
서울 강남구,노래방,1.0,5000.6,0.326,184,-1.3826,0.6484,-1.903,0.7176,4.6328,0.2881,0.7608,0.775,0.7206
서울 강남구,농수산물,1.0,4759.5,0.173,184,-2.3231,0.6575,-24.9477,0.0046,2.3063,0.6826,0.7608,0.0618,0.9491
서울 강남구,독서실,1.0,463.6,0.254,184,-11.0847,0.1148,-6.2289,0.5137,7.3324,0.3969,0.2906,0.6079,0.8038
서울 강남구,동물병원,1.0,953.4,0.249,184,-4.6655,0.2233,-14.125,0.0496,-1.9727,0.623,0.4521,0.2039,0.9491
서울 강남구,면세점,0.995,68.7,0.402,183,-14.1889,0.3808,31.3309,0.3104,2.6761,0.8862,0.6049,0.4857,0.9491
서울 강남구,"모텔,여관,기타숙박",1.0,1668.4,0.458,184,-1.9882,0.6794,16.2748,0.0297,-0.0673,0.9938,0.7751,0.1701,0.9938
서울 강남구,문화용품,1.0,596.6,0.421,184,-26.1105,0.0252,-36.4766,0.0453,-13.2088,0.3934,0.12,0.2039,0.8038
서울 강남구,미용서비스,1.0,392.4,0.282,184,-3.3559,0.6082,-16.9312,0.1061,-6.6246,0.3283,0.7465,0.2771,0.7387
서울 강남구,미용실,1.0,7523.9,0.277,184,-7.582,0.0306,-22.5493,0.1019,-4.5586,0.2979,0.1306,0.275,0.7206
서울 강남구,방문판매/다단계판매,0.995,1961.4,0.823,183,-5.6836,0.3751,-10.3931,0.2186,-10.6881,0.3056,0.6049,0.3688,0.7206
서울 강남구,백화점,1.0,25171.2,0.29,184,-4.1435,0.2825,-39.2041,0.1783,-9.4264,0.2271,0.4868,0.3359,0.7206
서울 강남구,보험,1.0,67540.3,0.866,184,-1.8954,0.9019,-14.6304,0.5133,-15.8786,0.3378,0.9132,0.6079,0.7395
서울 강남구,부동산중개,1.0,51.0,0.444,184,4.3295,0.7858,28.3454,0.1707,26.9649,0.2028,0.8673,0.3292,0.7206
서울 강남구,사무기기/문구용품,1.0,5716.8,0.339,184,-8.4498,0.0239,-18.1013,0.0275,-1.3462,0.8092,0.12,0.1701,0.9491
서울 강남구,상품권/복권,1.0,19335.2,0.692,184,10.3416,0.4786,-11.6013,0.3009,35.7326,0.1418,0.657,0.4857,0.7206
서울 강남구,생활잡화/수입상품점,1.0,19008.0,0.408,184,-2.9605,0.4354,-7.8799,0.3816,-1.9845,0.6955,0.6413,0.5288,0.9491
서울 강남구,서점,1.0,13459.0,0.516,184,-11.0267,0.0183,-16.8782,0.0253,13.28,0.2311,0.1042,0.1701,0.7206
서울 강남구,세탁소,1.0,2133.5,0.138,184,-9.2646,0.0287,-24.6716,0.0073,-12.5428,0.0413,0.129,0.0826,0.363
서울 강남구,쇼핑몰,1.0,140937.5,0.733,184,0.1232,0.9796,-5.5418,0.1692,15.5594,0.0044,0.9796,0.3292,0.0891
서울 강남구,수입자동차,0.951,104.5,0.58,175,20.3067,0.2983,22.6993,0.3686,35.6258,0.1919,0.5034,0.5239,0.7206
서울 강남구,수제용품점,0.984,34.0,0.405,181,5.2938,0.8058,-2.9329,0.9271,-22.0151,0.3114,0.8702,0.9387,0.7206
서울 강남구,스포츠/레저용품,1.0,3633.1,0.527,184,-8.0051,0.0143,-13.0475,0.111,-8.3373,0.0448,0.1016,0.2809,0.363
서울 강남구,스포츠시설,1.0,2776.7,0.261,184,-8.2207,0.0481,-10.4523,0.1956,3.7839,0.5843,0.1672,0.3477,0.9491
서울 강남구,시계/귀금속,1.0,4160.0,0.496,184,-9.6493,0.1302,-10.6598,0.3225,-8.5993,0.2578,0.3102,0.4857,0.7206
서울 강남구,실내/실외골프장,1.0,599.5,0.361,184,-4.6862,0.2729,-9.3919,0.1974,1.2959,0.8333,0.4868,0.3477,0.9491
서울 강남구,싸우나/목욕탕,1.0,1372.7,0.28,184,-4.7657,0.1754,-5.326,0.3511,-2.1768,0.7346,0.3841,0.5079,0.9491
서울 강남구,악기/음반,1.0,426.2,0.501,184,-16.3887,0.2692,-14.3981,0.4247,-2.7912,0.8905,0.4868,0.5639,0.9491
서울 강남구,안마/마사지,1.0,169.9,0.285,184,-6.9761,0.2804,18.4594,0.0622,3.2291,0.6757,0.4868,0.218,0.9491
서울 강남구,애완동물,1.0,719.0,0.288,184,-9.9514,0.1097,7.6706,0.4938,3.9758,0.6504,0.2865,0.6079,0.9491
서울 강남구,약국,1.0,36390.3,0.384,184,2.2584,0.6965,-10.5446,0.4118,0.6162,0.8602,0.7835,0.556,0.9491
서울 강남구,양식,1.0,11760.1,0.365,184,-4.8716,0.251,-1.2516,0.8476,-15.7125,0.001,0.4841,0.8764,0.0407
서울 강남구,여행사/항공사,1.0,1962.0,0.632,184,7.2292,0.6429,-4.0136,0.8547,17.9225,0.3565,0.7608,0.8764,0.7599
서울 강남구,연구/번역서비스,1.0,1966.3,0.485,184,-10.2733,0.1352,-21.0854,0.0704,4.3497,0.6111,0.3128,0.218,0.9491
서울 강남구,영화/공연,1.0,2749.0,0.288,184,-5.825,0.3169,-5.5735,0.484,5.3813,0.4769,0.5239,0.6079,0.8779
서울 강남구,예식장/결혼서비스,1.0,930.9,0.473,184,-24.0581,0.0193,-38.3295,0.1498,-16.0053,0.1933,0.1042,0.3292,0.7206
서울 강남구,오토바이,0.995,91.0,0.278,183,-34.7783,0.0071,-25.449,0.083,-26.7394,0.0798,0.0576,0.2319,0.5388
서울 강남구,완구/아동용자전거,1.0,1555.5,0.613,184,-11.4909,0.268,-5.5104,0.591,-1.3992,0.922,0.4868,0.6838,0.9574
서울 강남구,유흥업소,1.0,558.2,0.317,184,-7.7184,0.1639,-6.9623,0.4673,1.1333,0.87,0.3688,0.6009,0.9491
서울 강남구,의복/의류,1.0,14045.8,0.426,184,-7.0376,0.1228,-3.3964,0.7008,-12.9895,0.053,0.3015,0.767,0.3901
서울 강남구,인테리어/건축자재/주방기구,1.0,2159.8,0.505,184,-24.4187,0.0163,-25.6541,0.1609,4.4247,0.813,0.1016,0.3292,0.9491
서울 강남구,일반병원,1.0,35307.6,0.46,184,5.0819,0.5403,-11.8294,0.3236,8.1819,0.0361,0.7083,0.4857,0.363
서울 강남구,일식,1.0,15701.4,0.329,184,-4.4907,0.0041,-13.3668,0.0139,2.9479,0.1503,0.0478,0.1255,0.7206
서울 강남구,자동차서비스,1.0,1123.6,0.411,184,-10.9412,0.0745,-19.6828,0.1159,1.3349,0.8423,0.2082,0.2846,0.9491
서울 강남구,자동차용품,0.995,205.3,0.407,183,-5.9695,0.4639,-8.7909,0.4962,13.1938,0.2986,0.657,0.6079,0.7206
서울 강남구,장례식장/묘지/장의사,0.989,57.9,0.754,182,-4.7224,0.577,-26.3967,0.3238,-10.1211,0.4703,0.722,0.4857,0.8779
서울 강남구,전용매장,0.995,1730.8,0.057,183,-2.7203,0.5051,-7.1068,0.1484,-0.8069,0.8382,0.6818,0.3292,0.9491
서울 강남구,정육점,1.0,2634.7,0.135,184,-7.3857,0.0495,-15.4092,0.0754,2.307,0.6193,0.1672,0.218,0.9491
서울 강남구,제과점,1.0,30333.9,0.253,184,-5.2623,0.0002,-13.8786,0.0041,-5.385,0.001,0.0033,0.0618,0.0407
서울 강남구,종합병원,1.0,13693.4,0.556,184,4.8979,0.0839,-3.5838,0.6228,-4.9676,0.2794,0.2266,0.7006,0.7206
서울 강남구,주류판매,1.0,513.7,0.215,184,-14.6351,0.0495,-20.096,0.1695,5.0937,0.66,0.1672,0.3292,0.9491
서울 강남구,주유소,1.0,6432.8,0.207,184,-7.4929,0.0,-13.2953,0.0002,2.5191,0.1707,0.0,0.0071,0.7206
서울 강남구,주차장,1.0,6318.7,0.452,184,-7.9258,0.0014,-13.3594,0.0741,-2.0759,0.5854,0.0191,0.218,0.9491
서울 강남구,중고품판매점,0.978,157.8,0.216,180,-13.5348,0.417,-38.1817,0.0315,-27.1428,0.1672,0.639,0.1701,0.7206
서울 강남구,중식,1.0,13181.3,0.324,184,-4.0656,0.0159,-5.1393,0.192,0.9011,0.7,0.1016,0.3477,0.9491
서울 강남구,체인점,1.0,225.9,0.154,184,-1.0001,0.876,-1.6234,0.8101,10.0866,0.2139,0.8982,0.8602,0.7206
서울 강남구,치과병원,1.0,4634.2,0.423,184,-2.1021,0.7923,-29.3885,0.34,-7.2318,0.5494,0.8673,0.5007,0.9491
서울 강남구,커피전문점,1.0,228937.0,0.628,184,-3.661,0.0001,-4.3615,0.0693,4.0466,0.004,0.0019,0.218,0.0891
서울 강남구,컴퓨터/소프트웨어,1.0,367012.5,0.781,184,0.3822,0.8698,1.5444,0.5178,-2.5507,0.4561,0.8982,0.6079,0.8779
서울 강남구,"통신요금(이동,시내전화)",1.0,27591.0,0.842,184,0.9838,0.8614,-5.3604,0.668,-11.9756,0.2175,0.8982,0.7412,0.7206
서울 강남구,패션잡화,1.0,2389.3,0.419,184,-20.7418,0.0052,-25.3396,0.1606,3.2274,0.8195,0.0525,0.3292,0.9491
서울 강남구,패스트푸드,1.0,19234.6,0.319,184,-3.7902,0.0,-6.7925,0.0001,2.1198,0.2474,0.0003,0.0071,0.7206
서울 강남구,편의점,1.0,204950.9,0.298,184,-0.4867,0.5794,-6.2236,0.0389,1.8057,0.1247,0.722,0.197,0.7206
서울 강남구,학원/학습지,1.0,15673.0,0.266,184,-10.8412,0.0412,-20.0069,0.0313,-2.1529,0.7455,0.1589,0.1701,0.9491
서울 강남구,한식,1.0,110579.5,0.33,184,-2.7681,0.0059,-7.6487,0.0473,0.117,0.935,0.053,0.2039,0.9587
서울 강남구,한의원,1.0,3809.4,0.417,184,-4.7385,0.426,-17.8765,0.3852,-8.3787,0.2587,0.639,0.5288,0.7206
서울 강남구,할인점/슈퍼마켓/양판점,1.0,535435.3,0.678,184,-5.0702,0.0009,-21.3288,0.0643,-3.1941,0.2772,0.0146,0.218,0.7206
서울 강남구,헬스장,1.0,2555.6,0.178,184,-2.7136,0.4199,-19.158,0.1579,-1.7112,0.7518,0.639,0.3292,0.9491
서울 강남구,호텔/콘도,1.0,1885.2,0.34,184,3.4212,0.4723,17.7666,0.0527,22.7504,0.0108,0.657,0.2039,0.1754
서울 강남구,화원,1.0,925.1,0.374,184,-9.1093,0.2038,-16.7796,0.0681,-24.1478,0.0173,0.4249,0.218,0.2003
서울 강남구,화장품,1.0,6696.6,0.382,184,-9.7632,0.0692,-8.9235,0.4608,-2.2398,0.7635,0.2023,0.6009,0.9491
서울 강남구,회계/변리서비스,1.0,1575.0,0.371,184,-4.4444,0.6249,-0.6346,0.9656,-9.0563,0.5281,0.7554,0.9656,0.9491
