TA_YMD,MCT_SGG_CD,TS_AT,USE_CNT
20250926,서울 강남구,266627431908,3172932
20250927,강원 춘천시,12055485269,358800
20250927,서울 강남구,102654792222,2969514
20250928,강원 춘천시,6819601519,243582
20250928,서울 강남구,70936733980,2374865
20250929,강원 춘천시,25273981802,310721
20250929,서울 강남구,285396479610,3042936
20250930,강원 춘천시,12962503049,304568
20250930,서울 강남구,340519530593,3295440
20251001,강원 춘천시,11064605484,308541
20251001,서울 강남구,183875635258,3141457
20251002,강원 춘천시,11535471303,334318
20251002,서울 강남구,175275799792,3055321
20251003,강원 춘천시,11572431531,327338
20251003,서울 강남구,88535697550,2574908
20251004,강원 춘천시,12097787953,351021
20251004,서울 강남구,85229238346,2644435
20251005,강원 춘천시,8999140303,287467
20251005,서울 강남구,54467714710,2141634
20251006,강원 춘천시,5766635048,197782
20251006,서울 강남구,33154940708,1339058
20251007,강원 춘천시,7618768659,252388
20251007,서울 강남구,47808805026,2044897
20251008,강원 춘천시,8799977375,303615
20251008,서울 강남구,58098449277,2353689
20251009,강원 춘천시,7974232384,276150
20251009,서울 강남구,60639905067,2365473
20251010,강원 춘천시,10085564649,272178
20251010,서울 강남구,182827585187,2911036
20251011,강원 춘천시,8793878448,275288
20251011,서울 강남구,82097414381,2619029
20251012,강원 춘천시,6248020167,231550
20251012,서울 강남구,62461933944,2295053
20251013,강원 춘천시,12042902048,247177
20251013,서울 강남구,177671977944,3024794
20251014,강원 춘천시,18874888185,282542
20251014,서울 강남구,190497994326,3044092
20251015,강원 춘천시,22570894645,276298
20251015,서울 강남구,239601457471,3299142
20251016,강원 춘천시,10815427493,283790
20251016,서울 강남구,144966268319,2845836
20251017,강원 춘천시,9096799327,297908
20251017,서울 강남구,155933252215,2824623
20251018,강원 춘천시,10198913281,334996
20251018,서울 강남구,90980994771,2771806
20251019,강원 춘천시,7889364543,281648
20251019,서울 강남구,64044689816,2431108
20251020,강원 춘천시,9184983855,284408
20251020,서울 강남구,174215061357,3067706
20251021,강원 춘천시,8831629180,281178
20251021,서울 강남구,163580205884,2797583
20251022,강원 춘천시,8817663163,279730
20251022,서울 강남구,167493123000,2854959
20251023,강원 춘천시,9425089059,277576
20251023,서울 강남구,165638393295,2853323
20251024,강원 춘천시,13135161787,307087
20251024,서울 강남구,208855110705,3195265
20251025,강원 춘천시,11167891821,355159
20251025,서울 강남구,94269075135,2837150
20251026,강원 춘천시,7807120900,273745
20251026,서울 강남구,66041557010,2374798
20251027,강원 춘천시,15492026557,286299
20251027,서울 강남구,271748252327,3475901
20251028,강원 춘천시,23582617713,282101
20251028,서울 강남구,240480053653,2819238
20251029,강원 춘천시,20416921406,281472
20251029,서울 강남구,220029315023,2840153
20251030,강원 춘천시,13917594799,288012
20251030,서울 강남구,253449931126,2863876
20251031,강원 춘천시,14774600281,310912
20251031,서울 강남구,316302963387,3061861
20251101,강원 춘천시,12023942841,333246
20251101,서울 강남구,120132935663,3095516
20251102,강원 춘천시,8639824115,265763
20251102,서울 강남구,80149287567,2541678
20251103,강원 춘천시,9524551016,277450
20251103,서울 강남구,153570635488,2881356
20251104,강원 춘천시,9081462758,272619
20251104,서울 강남구,139975448826,2755286
20251105,강원 춘천시,8665166536,270737
20251105,서울 강남구,148124779207,3058856
20251106,강원 춘천시,8079609734,273029
20251106,서울 강남구,136609119010,2854819
20251107,강원 춘천시,9548214058,298869
20251107,서울 강남구,154740893554,2908627
20251108,강원 춘천시,10520594133,322647
20251108,서울 강남구,88513955832,2811111
20251109,강원 춘천시,7025089201,253607
20251109,서울 강남구,65059440145,2438871
20251110,강원 춘천시,8572659865,284231
20251110,서울 강남구,219871516328,3271312
20251111,강원 춘천시,9136656125,285061
20251111,서울 강남구,158293138023,3017975
20251112,강원 춘천시,9394346477,273410
20251112,서울 강남구,145959706194,2809231
20251113,강원 춘천시,17378627407,277560
20251113,서울 강남구,142671179211,2844543
20251114,강원 춘천시,24435381001,295066
20251114,서울 강남구,186526641519,3060400
20251115,강원 춘천시,11449568935,319909
20251115,서울 강남구,95134081430,2783081
20251116,강원 춘천시,7654248450,258824
20251116,서울 강남구,63364509732,2369370
20251117,강원 춘천시,11123309155,269247
20251117,서울 강남구,168530492261,3162479
20251118,강원 춘천시,8816562674,266741
20251118,서울 강남구,145802929887,2698381
20251119,강원 춘천시,8566417421,264884
20251119,서울 강남구,147754983901,2752892
20251120,강원 춘천시,8547442683,266401
20251120,서울 강남구,188118853223,3091234
20251121,강원 춘천시,11240907885,287459
20251121,서울 강남구,172283498013,2902255
20251122,강원 춘천시,10641022410,315040
20251122,서울 강남구,89145103194,2752393
20251123,강원 춘천시,7026943796,238676
20251123,서울 강남구,63010930137,2331072
20251124,강원 춘천시,9497324794,276064
20251124,서울 강남구,200638902226,3048340
20251125,강원 춘천시,17306136907,257277
20251125,서울 강남구,276945130260,3294515
20251126,강원 춘천시,16605034322,273549
20251126,서울 강남구,253376305907,2813756
20251127,강원 춘천시,22358964542,253695
20251127,서울 강남구,245382561715,2767302
20251128,강원 춘천시,22390597385,292763
20251128,서울 강남구,318518719466,3052092
20251129,강원 춘천시,11352989180,306682
20251129,서울 강남구,98438762551,2757142
20251130,강원 춘천시,7963929238,254502
20251130,서울 강남구,76774615287,2512707
20251201,강원 춘천시,9435276992,268413
20251201,서울 강남구,228211933184,3058792
20251202,강원 춘천시,8121181192,257853
20251202,서울 강남구,158007041778,2772410
20251203,강원 춘천시,7690298934,248632
20251203,서울 강남구,141652767845,2686159
20251204,강원 춘천시,8236377040,251372
20251204,서울 강남구,133517595286,2808248
20251205,강원 춘천시,8935390839,270671
20251205,서울 강남구,146090683594,2788018
20251206,강원 춘천시,9918805594,292903
20251206,서울 강남구,89181733877,2666339
20251207,강원 춘천시,7371215116,243828
20251207,서울 강남구,62598784552,2348848
20251208,강원 춘천시,8204107293,261059
20251208,서울 강남구,142930190870,2709303
20251209,강원 춘천시,7766604252,256483
20251209,서울 강남구,146991828919,2683592
20251210,강원 춘천시,8799471671,257588
20251210,서울 강남구,217687375850,3104980
20251211,강원 춘천시,10699162590,258775
20251211,서울 강남구,138554448772,2708594
20251212,강원 춘천시,13942028933,281518
20251212,서울 강남구,175946664395,2934237
20251213,강원 춘천시,9266849274,267525
20251213,서울 강남구,91838963648,2521705
20251214,강원 춘천시,6445216545,227214
20251214,서울 강남구,69033595969,2367562
20251215,강원 춘천시,27091891051,261318
20251215,서울 강남구,230283313423,3528586
20251216,강원 춘천시,9140773795,245531
20251216,서울 강남구,150126872626,2681316
20251217,강원 춘천시,8170604736,259412
20251217,서울 강남구,148750248794,2878952
20251218,강원 춘천시,8192268393,259306
20251218,서울 강남구,159839722592,2911368
20251219,강원 춘천시,9145443400,280699
20251219,서울 강남구,180060878679,3000623
20251220,강원 춘천시,9682242177,287870
20251220,서울 강남구,99961532244,2798122
20251221,강원 춘천시,7307324959,239208
20251221,서울 강남구,71552051176,2475363
20251222,강원 춘천시,8729158129,255341
20251222,서울 강남구,204734674787,3245092
20251223,강원 춘천시,9518181488,228589
20251223,서울 강남구,200722922200,2878257
20251224,강원 춘천시,14695020989,278925
20251224,서울 강남구,212758180907,3453913
20251225,강원 춘천시,8279894042,265565
20251225,서울 강남구,74518177032,2608613
20251226,강원 춘천시,18665613099,274686
20251226,서울 강남구,243838051016,3408722
20251227,강원 춘천시,10056295836,277466
20251227,서울 강남구,96484590657,2734973
20251228,강원 춘천시,6383633277,218804
20251228,서울 강남구,65342651062,2356615
20251229,강원 춘천시,19053501089,262897
20251229,서울 강남구,522851873013,3007712
20251230,강원 춘천시,24077817047,263397
20251230,서울 강남구,241891301994,2933156
20251231,강원 춘천시,14259161585,293362
20251231,서울 강남구,210943064854,3091607
